District,Marriage,Employment,Education,Displacement,Resettlement ,Development_Projects,Family Needs,Other,Less than 05 years,Between 05-09 Years,10Yeras & Above
Colombo,22.8,42.8,10.5,0.9,0.2,0.1,17.2,5.6,31.3,15.8,52.9
Gampaha,29.2,30.6,4.3,1.1,0.4,0.4,21.5,12.5,32.1,17,50.9
Kalutara,36.8,13.7,3.5,1.6,1.4,0.5,22.4,20.1,30.5,18.7,50.8
Kandy,42.1,14.5,10.7,1.2,0.3,0.4,19.9,10.9,31.5,15.4,53.1
Matale,46.8,12.5,3.2,2.1,0.4,2,23,9.9,25.4,13.4,61.1
Nuwara Eliya,47.5,17.9,4.7,6.9,0.7,0.6,16.5,5.2,25.9,13.4,60.7
Galle,47,14.4,6.3,1.1,0.3,0.2,19.1,11.7,31.2,15.9,52.9
Matara,49.5,10.2,7.8,1.3,0.2,0.1,19.5,11.4,31.5,16.4,52.1
Hambantota,45.1,13,2.8,1.2,0.4,3.8,19.3,14.4,31.5,15.8,52.7
Jaffna,3.6,3.9,4.3,7.6,70.1,0.2,7.7,2.6,47.2,10.9,41.9
Mannar,5.4,10.1,2.2,9.3,66,0.2,6,0.9,72,7,20.9
Vavuniya,7.3,10.4,2.8,36.9,28.5,1.7,10.3,2,43.3,8.4,48.3
Mullaitivu,1.2,3.6,0.7,0.5,88.3,2,3.5,0.2,96.1,0.5,3.4
Kilinochchi,0.6,2.1,0.5,0.3,95.6,0.1,0.7,0.2,99.9,0.1,0.1
Batticaloa,24.2,21.8,13.9,16.5,3.1,0.1,16.6,3.9,43.1,15.8,41.1
Ampara,26.3,13.7,5.1,3.7,1.6,20.4,21.8,7.4,22.6,10.1,67.3
Trincomalee,19.7,15,3.3,4.7,33.2,3.4,17.3,3.4,45.4,10.3,44.3
Kurunegala,45.6,12.5,4.6,1.3,0.3,0.8,20.4,14.5,30,15.1,54.9
Puttalam,30.8,16.2,3,17.6,1.2,1.4,21.7,8.1,23.6,11.4,65
Anuradhapura,36.3,14,3.6,3.4,0.8,8.1,24.1,9.6,25.7,11.2,63.1
Polonnaruwa,31.1,11.9,1.7,1.7,0.8,17.6,25.5,9.7,18.1,8.5,73.3
Badulla,42.6,16.5,6.7,1.5,0.4,1.5,20.5,10.2,32.8,14.6,52.6
Monaragala,40.4,18.9,2.1,1.6,0.7,4.8,25,6.6,21.9,10.9,67.2
Ratnapura,44.7,17,4.4,1,0.4,1.6,23,8,27.4,14,58.7
Kegalle,53.3,10.3,3.9,0.9,0.3,0.2,17.3,13.8,29.3,15.8,54.9
